Conversation ID	Words per hour	Speech per turn	Mean inter-speaker silence	Turn taking balance	Interruption rate	Grade level	MATTR lexical diversity	Mean word length	VADER sentiment	Responsivity rate
1	6373.99	9.02	0.5	0.966	0.01	2.61	444	4.28	0.299	0.152
2	6716.97	23.48	0.5	0.986	0.02	6.54	379	4.31	0.591	0.482
3	5498.72	15.01	0.5	0.941	0.01	4.6	378	4.31	0.409	0.281
4	8031.51	7.26	0.5	0.956	0.11	1.31	428	4.16	0.232	0.173
5	6701.1	14.21	0.5	0.954	0.03	2.61	413	4.25	0.38	0.253
6	7781.89	10.9	0.5	0.965	0.04	2.56	421	4.27	0.34	0.26
7	10500.18	15.5	4.35	0.866	0.0	5.64	435	4.31	0.357	0.118
8	11597.68	8.73	3.65	0.831	0.0	3.48	429	4.17	0.216	0.11
9	9498.22	15.66	5.44	0.849	0.0	4.81	411	4.23	0.251	0.09
11	6594.73	12.35	0.5	0.972	0.0	3.08	407	4.38	0.433	0.189
12	6614.43	23.86	0.5	0.999	0.03	3.91	395	4.27	0.389	0.333
14	11313.78	10.12	5.7	0.891	0.0	5.18	394	4.31	0.358	0.168
15	5561.39	22.2	0.5	0.972	0.0	4.26	397	4.32	0.362	0.321
16	6855.06	17.79	0.5	0.988	0.06	3.87	398	4.21	0.392	0.278
17	11705.13	15.58	6.6	0.834	0.0	5.65	413	4.25	0.305	0.126
18	12401.69	15.66	4.53	0.997	0.0	4.33	400	4.21	0.5	0.173
19	10979.87	16.03	7.1	0.877	0.0	6.25	389	4.28	0.372	0.155
20	11563.62	14.61	4.48	0.9	0.0	5.44	410	4.21	0.331	0.162
21	10828.16	19.98	5.89	0.903	0.02	5.47	389	4.15	0.291	0.153
22	11078.09	12.9	3.78	0.873	0.0	3.86	385	4.08	0.335	0.09
23	10460.24	26.54	7.16	0.891	0.0	5.75	387	4.24	0.271	0.137
